@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R1-2,6-11,14'

@attribute u numeric
@attribute g numeric
@attribute r numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric

@data
1.148336,2.308484,2.272374,QSO,2.652234
-1.697045,-1.737138,-1.586216,STAR,-0.36793
1.09907,0.890761,0.749374,STAR,-0.365402
0.730448,0.990947,1.13881,STAR,-0.367674
-0.409038,-0.052552,0.152674,STAR,-0.368669
0.955285,-0.006137,-0.378353,GALAXY,-0.149013
0.625478,0.338774,0.106961,GALAXY,-0.222359
-1.365527,-1.458328,-1.316206,GALAXY,-0.264913
-1.898751,-1.968779,-1.742909,STAR,-0.368171
-0.219242,0.053235,-0.007259,GALAXY,-0.222609
1.081446,0.491039,0.077641,GALAXY,-0.155202
0.409067,0.414258,0.524851,STAR,-0.366489
-0.432484,-0.413405,-0.304403,STAR,-0.368001
0.057248,-0.631026,-0.942975,GALAXY,-0.174623
0.996053,0.91593,0.757019,GALAXY,-0.038636
-0.256707,-0.232824,-0.24357,GALAXY,-0.150716
1.000477,1.922101,1.926674,QSO,2.670781
0.006198,0.024368,0.692758,STAR,-0.368759
-0.496974,-0.918775,-1.140541,GALAXY,-0.102852
0.525572,0.711286,0.758347,STAR,-0.366993
-1.164568,-1.404302,-1.477108,GALAXY,-0.242395
1.071887,0.697267,0.536988,STAR,-0.369177
-1.626563,-1.008598,-0.685309,STAR,-0.367346
-1.244043,-1.616864,-1.667801,GALAXY,-0.270423
-1.028318,-0.859616,-0.752517,STAR,-0.36886
0.865734,0.898276,0.783016,GALAXY,-0.18175
1.178001,0.254116,-0.159037,GALAXY,-0.14961
1.063401,1.211969,1.413941,STAR,-0.368124
0.896653,0.899413,0.815697,GALAXY,-0.176682
-0.528629,-1.046617,-1.135202,STAR,-0.368498
0.586278,0.884384,0.856852,STAR,-0.367956
0.971077,0.764801,0.704707,STAR,-0.367679
-2.729464,-2.273683,-1.805607,STAR,-0.368031
0.104429,0.443625,0.625126,STAR,-0.366515
-0.207996,-0.148103,0.41452,STAR,-0.367759
-1.031561,-0.827805,-0.615747,STAR,-0.368283
-0.04625,-0.722071,-1.021792,GALAXY,-0.15599
-1.067471,-0.542468,-0.231621,STAR,-0.369771
0.261642,0.324861,0.35588,STAR,-0.367343
-0.539514,-0.967263,-1.061977,GALAXY,-0.26731
0.593534,0.743767,0.776924,GALAXY,-0.151072
-1.207386,-1.05056,-0.836033,STAR,-0.367732
-0.343282,-0.700537,-0.871096,GALAXY,-0.209834
-0.765015,-0.340609,-0.062839,STAR,-0.367668
0.158987,0.448376,0.614995,STAR,-0.366964
-1.937939,-1.484846,-1.373914,GALAXY,-0.327746
0.957178,0.167344,-0.238928,GALAXY,-0.168721
0.919002,1.84601,1.602911,STAR,-0.368107
0.663847,-0.233366,-0.556241,GALAXY,-0.204738
0.788791,-0.08853,-0.507515,GALAXY,-0.114829
-0.137441,-0.630431,-0.746519,GALAXY,-0.237525
